#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
3.119727,3,1,0,724
3.622653,4,1,0,680
5.790231,3,1,0,1280
6.938341,4,1,0,1724
7.544452,5,1,0,1703
6.748777,6,1,0,1401
1.460371,3,1,0,407
3.591113,3,1,0,847
4.668561,4,1,0,1029
3.351277,5,1,0,988
2.222990,3,1,0,619
7.529829,4,1,0,1010
11.087137,5,1,0,1324
5.100514,6,1,0,1491
4.036947,7,1,0,1438
12.960205,8,1,0,1750
6.194246,9,1,0,2162
16.372994,10,1,0,2685
19.383574,11,1,0,3165
13.747957,12,1,0,3690
5.110005,3,1,0,943
3.993227,4,1,0,1099
5.761368,5,1,0,1369
7.127301,6,1,0,2004
8.188808,7,1,0,2562
8.924924,8,1,0,2767
9.278175,9,1,0,2819
9.583702,10,1,0,2822
19.736087,0,0,0,0
12.789086,0,0,0,0
12.730297,0,0,0,0
17.903073,0,0,0,0
16.175883,0,0,0,0
21.878310,0,0,0,0
20.250775,0,0,0,0
22.452937,0,0,0,0
25.216699,0,0,0,0
26.785952,0,0,0,0
28.792725,0,0,0,0
31.032153,0,0,0,0
37.640387,0,0,0,0
36.845105,0,0,0,0
39.480874,0,0,0,0
37.445056,0,0,0,0
37.591897,0,0,0,0
39.540645,0,0,0,0
41.531375,0,0,0,0
42.405537,0,0,0,0
42.552508,0,0,0,0
42.531181,0,0,0,0
45.582014,0,0,0,0
42.692867,0,0,0,0
43.645012,0,0,0,0
41.544978,0,0,0,0
42.949624,0,0,0,0
41.379382,0,0,0,0
45.537796,0,0,0,0
42.070318,0,0,0,0
44.573212,0,0,0,0
41.066591,0,0,0,0
42.837243,0,0,0,0
42.444718,0,0,0,0
42.241226,0,0,0,0
43.564702,0,0,0,0
44.355283,0,0,0,0
44.221844,0,0,0,0
42.297701,0,0,0,0
44.464311,0,0,0,0
41.219644,0,0,0,0
40.678249,0,0,0,0
41.370049,0,0,0,0
41.906527,0,0,0,0
42.174447,0,0,0,0
44.084119,0,0,0,0
42.592449,0,0,0,0
55.057340,0,0,0,0
41.513429,0,0,0,0
45.965612,0,0,0,0
41.909745,0,0,0,0
42.149050,0,0,0,0
41.252678,0,0,0,0
40.738590,0,0,0,0
42.742097,0,0,0,0
42.290665,0,0,0,0
44.311755,0,0,0,0
42.084167,0,0,0,0
43.495286,0,0,0,0
58.836573,0,0,0,0
44.027486,0,0,0,0
44.188024,0,0,0,0
45.680665,0,0,0,0
46.257053,0,0,0,0
45.387150,0,0,0,0
46.963896,0,0,0,0
49.202126,0,0,0,0
46.989267,0,0,0,0
47.840745,0,0,0,0
47.850066,0,0,0,0
62.547556,0,0,0,0
47.873662,0,0,0,0
48.866010,0,0,0,0
49.416388,0,0,0,0
46.731527,0,0,0,0
50.406161,0,0,0,0
52.677987,0,0,0,0
48.330780,0,0,0,0
50.146787,0,0,0,0
48.634086,0,0,0,0
48.023045,0,0,0,0
50.706843,0,0,0,0
47.967574,0,0,0,0
48.454817,0,0,0,0
49.306206,0,0,0,0
46.846289,0,0,0,0
48.887364,0,0,0,0
45.871332,0,0,0,0
48.441854,0,0,0,0
44.779041,0,0,0,0
44.331575,0,0,0,0
43.986229,0,0,0,0
46.116076,0,0,0,0
41.153198,0,0,0,0
43.640659,0,0,0,0
44.244359,0,0,0,0
41.169170,0,0,0,0
38.989909,0,0,0,0
38.341632,0,0,0,0
39.337785,0,0,0,0
38.666626,0,0,0,0
55.233578,0,0,0,0
38.692980,0,0,0,0
37.862338,0,0,0,0
38.978108,0,0,0,0
39.316044,0,0,0,0
40.585410,0,0,0,0
40.681258,0,0,0,0
40.016627,0,0,0,0
54.214518,0,0,0,0
56.982538,0,0,0,0
39.158382,0,0,0,0
38.720074,0,0,0,0
39.168683,0,0,0,0
41.208924,0,0,0,0
41.868821,0,0,0,0
38.427309,0,0,0,0
39.106428,0,0,0,0
41.149749,0,0,0,0
39.095423,0,0,0,0
38.650240,0,0,0,0
40.980635,0,0,0,0
38.516338,0,0,0,0
39.287441,0,0,0,0
42.132437,0,0,0,0
41.256869,0,0,0,0
38.188029,0,0,0,0
40.576208,0,0,0,0
38.537274,0,0,0,0
38.873705,0,0,0,0
41.339388,0,0,0,0
42.928818,0,0,0,0
40.305237,0,0,0,0
38.844743,0,0,0,0
39.283134,0,0,0,0
38.280338,0,0,0,0
38.697721,0,0,0,0
39.869616,0,0,0,0
37.891880,0,0,0,0
38.928404,0,0,0,0
41.003841,0,0,0,0
39.344521,0,0,0,0
39.447486,0,0,0,0
39.051251,0,0,0,0
40.551981,0,0,0,0
39.562211,0,0,0,0
39.609507,0,0,0,0
41.943423,0,0,0,0
38.578311,0,0,0,0
39.624710,0,0,0,0
37.759807,0,0,0,0
43.400082,0,0,0,0
37.720655,0,0,0,0
39.633587,0,0,0,0
39.552172,0,0,0,0
40.134136,0,0,0,0
39.355152,0,0,0,0
38.062237,0,0,0,0
39.004769,0,0,0,0
38.950199,0,0,0,0
38.000126,0,0,0,0
37.668530,0,0,0,0
40.492344,0,0,0,0
36.777317,0,0,0,0
37.247534,0,0,0,0
40.774957,0,0,0,0
37.964750,0,0,0,0
64.462136,0,0,0,0
39.180013,0,0,0,0
38.054586,0,0,0,0
60.393949,0,0,0,0
38.248545,0,0,0,0
37.896735,0,0,0,0
37.773136,0,0,0,0
39.552413,0,0,0,0
39.281454,0,0,0,0
40.903672,0,0,0,0
50.222265,0,0,0,0
40.376403,0,0,0,0
41.785884,0,0,0,0
37.839384,0,0,0,0
39.633213,0,0,0,0
37.976440,0,0,0,0
37.548390,0,0,0,0
37.591759,0,0,0,0
37.309373,0,0,0,0
37.621416,0,0,0,0
42.269717,0,0,0,0
57.131990,0,0,0,0
37.147869,0,0,0,0
36.981816,0,0,0,0
35.034866,0,0,0,0
36.056016,0,0,0,0
37.461310,0,0,0,0
35.024993,0,0,0,0
36.076312,0,0,0,0
37.060303,0,0,0,0
37.588939,0,0,0,0
39.263045,0,0,0,0
43.411962,0,0,0,0
36.931216,0,0,0,0
38.238271,0,0,0,0
38.229864,0,0,0,0
42.910774,0,0,0,0
38.847270,0,0,0,0
43.905753,0,0,0,0
47.758751,0,0,0,0
51.503329,0,0,0,0
59.048069,0,0,0,0
42.574141,0,0,0,0
43.440744,0,0,0,0
44.148556,0,0,0,0
45.958729,0,0,0,0
44.796244,0,0,0,0
44.603433,0,0,0,0
46.312967,0,0,0,0
45.615727,0,0,0,0
48.962033,0,0,0,0
48.862535,0,0,0,0
58.932857,0,0,0,0
49.237121,0,0,0,0
48.609650,0,0,0,0
47.334918,0,0,0,0
48.271968,0,0,0,0
53.278240,0,0,0,0
53.114090,0,0,0,0
48.455093,0,0,0,0
47.941996,0,0,0,0
48.848739,0,0,0,0
49.876241,0,0,0,0
48.350773,0,0,0,0
54.846982,0,0,0,0
49.239950,0,0,0,0
47.563977,0,0,0,0
46.090478,0,0,0,0
46.937200,0,0,0,0
51.749415,0,0,0,0
48.053440,0,0,0,0
53.332984,0,0,0,0
42.120321,0,0,0,0
43.232541,0,0,0,0
44.321219,0,0,0,0
44.535508,0,0,0,0
42.799486,0,0,0,0
41.679385,0,0,0,0
41.334220,0,0,0,0
40.077060,0,0,0,0
41.148756,0,0,0,0
42.238695,0,0,0,0
44.274502,0,0,0,0
44.405332,0,0,0,0
44.336905,0,0,0,0
44.677585,0,0,0,0
45.879493,0,0,0,0
44.057230,0,0,0,0
44.569818,0,0,0,0
43.826793,0,0,0,0
45.932809,0,0,0,0
47.359776,0,0,0,0
46.034605,0,0,0,0
47.005775,0,0,0,0
45.286712,0,0,0,0
47.861912,0,0,0,0
46.478298,0,0,0,0
49.212959,0,0,0,0
47.643826,0,0,0,0
47.925167,0,0,0,0
48.660237,0,0,0,0
48.089879,0,0,0,0
50.981993,0,0,0,0
55.800013,0,0,0,0
52.510923,0,0,0,0
50.300145,0,0,0,0
52.373170,0,0,0,0
52.943918,0,0,0,0
50.516458,0,0,0,0
50.054981,0,0,0,0
48.456203,0,0,0,0
51.893766,0,0,0,0
53.493625,0,0,0,0
50.138339,0,0,0,0
50.562790,0,0,0,0
50.721602,0,0,0,0
51.776459,0,0,0,0
56.722782,0,0,0,0
55.443232,0,0,0,0
58.033401,0,0,0,0
54.194172,0,0,0,0
55.542901,0,0,0,0
54.934733,0,0,0,0
56.593127,0,0,0,0
63.861614,0,0,0,0
57.395814,0,0,0,0
64.176738,0,0,0,0
57.263566,0,0,0,0
60.544140,0,0,0,0
73.682614,0,0,0,0
58.557579,0,0,0,0
59.801369,0,0,0,0
59.544055,0,0,0,0
66.306794,0,0,0,0
60.159355,0,0,0,0
62.482913,0,0,0,0
62.193941,0,0,0,0
61.654820,0,0,0,0
59.725213,0,0,0,0
60.768495,0,0,0,0
61.375530,0,0,0,0
59.419811,0,0,0,0
58.829488,0,0,0,0
59.394511,0,0,0,0
59.103037,0,0,0,0
59.382668,0,0,0,0
62.911906,0,0,0,0
63.073216,0,0,0,0
64.191444,0,0,0,0
59.314033,0,0,0,0
58.911550,0,0,0,0
60.482198,0,0,0,0
60.004880,0,0,0,0
59.754508,0,0,0,0
62.103743,0,0,0,0
63.447212,0,0,0,0
62.530727,0,0,0,0
59.256795,0,0,0,0
59.433065,0,0,0,0
63.030240,0,0,0,0
59.272741,0,0,0,0
62.931795,0,0,0,0
58.701278,0,0,0,0
60.184513,0,0,0,0
59.795427,0,0,0,0
60.862831,0,0,0,0
61.196666,0,0,0,0
63.725236,0,0,0,0
60.502364,0,0,0,0
61.749619,0,0,0,0
64.779900,0,0,0,0
64.914336,0,0,0,0
62.663691,0,0,0,0
63.518378,0,0,0,0
65.246438,0,0,0,0
67.084857,0,0,0,0
62.574752,0,0,0,0
66.555388,0,0,0,0
64.188464,0,0,0,0
61.570549,0,0,0,0
65.391225,0,0,0,0
61.284626,0,0,0,0
61.814337,0,0,0,0
62.476423,0,0,0,0
64.209848,0,0,0,0
63.277721,0,0,0,0
65.560856,0,0,0,0
61.129902,0,0,0,0
62.144931,0,0,0,0
60.785522,0,0,0,0
62.692998,0,0,0,0
59.943817,0,0,0,0
60.285701,0,0,0,0
67.377788,0,0,0,0
62.528652,0,0,0,0
61.637835,0,0,0,0
61.532589,0,0,0,0
61.377204,0,0,0,0
63.018932,0,0,0,0
61.693096,0,0,0,0
65.172380,0,0,0,0
64.796529,0,0,0,0
62.793694,0,0,0,0
66.108252,0,0,0,0
61.286013,0,0,0,0
59.212832,0,0,0,0
59.902742,0,0,0,0
62.460962,0,0,0,0
64.770934,0,0,0,0
63.200589,0,0,0,0
63.221308,0,0,0,0
66.735720,0,0,0,0
63.918241,0,0,0,0
64.359576,0,0,0,0
65.554370,0,0,0,0
67.569555,0,0,0,0
62.941339,0,0,0,0
78.963772,0,0,0,0
63.953258,0,0,0,0
63.658990,0,0,0,0
69.564405,0,0,0,0
65.842686,0,0,0,0
66.482895,0,0,0,0
65.001596,0,0,0,0
67.327935,0,0,0,0
62.996003,0,0,0,0
61.966024,0,0,0,0
60.703217,0,0,0,0
60.992674,0,0,0,0
62.028593,0,0,0,0
62.134513,0,0,0,0
62.679198,0,0,0,0
61.229602,0,0,0,0
59.702602,0,0,0,0
61.042204,0,0,0,0
61.655290,0,0,0,0
60.388512,0,0,0,0
63.840639,0,0,0,0
63.528573,0,0,0,0
66.445874,0,0,0,0
59.950868,0,0,0,0
60.259688,0,0,0,0
