#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
4.127252,3,1,0,724
4.098570,4,1,0,675
8.293767,3,1,0,1280
5.458273,4,1,0,1712
12.195092,5,1,0,1677
10.813710,6,1,0,1428
4.044417,3,1,0,689
9.294671,4,1,0,1582
4.906845,5,1,0,1603
7.281052,3,1,0,1030
3.968403,3,1,0,843
2.744257,4,1,0,827
2.911727,3,1,0,874
4.316473,4,1,0,1276
6.138345,5,1,0,1885
15.430326,6,1,0,2491
10.287270,6,2,0,3010
9.932707,6,3,0,3153
12.214618,6,4,0,3187
9.365323,6,4,0,3272
11.952796,0,0,0,0
14.539739,0,0,0,0
20.399612,0,0,0,0
17.814807,0,0,0,0
20.277726,0,0,0,0
22.382399,0,0,0,0
26.985964,0,0,0,0
27.629189,0,0,0,0
29.200515,0,0,0,0
31.115397,0,0,0,0
33.196438,0,0,0,0
35.685845,0,0,0,0
37.059303,0,0,0,0
33.072487,0,0,0,0
32.628386,0,0,0,0
33.319467,0,0,0,0
33.004490,0,0,0,0
34.357460,0,0,0,0
45.541043,0,0,0,0
3.983967,3,1,0,1053
5.223538,4,1,0,969
4.003270,5,1,0,1139
6.522358,6,1,0,1389
6.256257,6,1,0,1762
6.412745,6,2,0,1934
6.657421,6,3,0,1916
6.117099,6,4,0,1980
4.111935,3,1,0,909
2.840194,4,1,0,766
4.769786,3,1,0,789
3.249452,4,1,0,933
5.635709,5,1,0,1313
4.192141,6,1,0,1247
5.242580,3,1,0,776
3.319868,4,1,0,936
3.633677,3,1,0,1089
9.000199,4,1,0,1070
3.314003,5,1,0,959
1.864607,3,1,0,456
3.381083,4,1,0,616
2.444935,5,1,0,801
4.804900,6,1,0,973
5.135963,6,2,0,1171
5.455786,6,3,0,1374
9.083935,6,3,0,1593
4.168192,6,4,0,1803
8.956096,0,0,0,0
10.399759,0,0,0,0
10.959015,0,0,0,0
11.649550,0,0,0,0
11.978149,0,0,0,0
12.605095,0,0,0,0
19.560288,0,0,0,0
18.204644,0,0,0,0
5.720692,3,1,0,993
4.060225,4,1,0,1173
9.645471,5,1,0,1526
6.661858,6,1,0,2057
9.595986,6,2,0,2307
7.832232,6,3,0,2588
8.146281,6,4,0,2940
9.291341,6,5,0,3503
11.133712,6,6,0,3896
10.794043,6,7,0,4135
14.037879,6,8,0,4280
21.446616,0,0,0,0
5.691102,3,1,0,629
9.600276,4,1,0,978
3.529106,3,1,0,586
4.330525,4,1,0,1004
5.330057,5,1,0,1330
6.710605,6,1,0,1742
8.591668,6,2,0,2172
7.385027,6,3,0,2522
7.512466,6,4,0,2885
9.648671,6,5,0,3256
12.978404,0,0,0,0
14.154902,0,0,0,0
14.955880,0,0,0,0
18.290230,0,0,0,0
18.803793,0,0,0,0
22.732825,0,0,0,0
22.296691,0,0,0,0
24.031553,0,0,0,0
30.764211,0,0,0,0
29.020685,0,0,0,0
32.672775,0,0,0,0
33.739392,0,0,0,0
33.487740,0,0,0,0
33.812658,0,0,0,0
43.541741,0,0,0,0
34.647807,0,0,0,0
34.181819,0,0,0,0
34.265083,0,0,0,0
37.220849,0,0,0,0
34.352525,0,0,0,0
34.662034,0,0,0,0
34.700394,0,0,0,0
37.160575,0,0,0,0
38.158114,0,0,0,0
40.101582,0,0,0,0
40.850090,0,0,0,0
41.909382,0,0,0,0
40.893273,0,0,0,0
56.669991,0,0,0,0
42.435144,0,0,0,0
44.034248,0,0,0,0
42.932336,0,0,0,0
43.957218,0,0,0,0
48.978370,0,0,0,0
50.551029,0,0,0,0
45.433176,0,0,0,0
48.136433,0,0,0,0
51.786611,0,0,0,0
45.332478,0,0,0,0
46.930126,0,0,0,0
45.251712,0,0,0,0
51.841189,0,0,0,0
44.715738,0,0,0,0
46.641676,0,0,0,0
46.173945,0,0,0,0
47.314445,0,0,0,0
67.986286,0,0,0,0
65.607086,0,0,0,0
48.116067,0,0,0,0
47.411886,0,0,0,0
51.608410,0,0,0,0
58.249136,0,0,0,0
52.638238,0,0,0,0
47.737017,0,0,0,0
47.340715,0,0,0,0
49.643248,0,0,0,0
52.388702,0,0,0,0
56.444145,0,0,0,0
47.688105,0,0,0,0
49.253259,0,0,0,0
47.647102,0,0,0,0
54.944145,0,0,0,0
48.162460,0,0,0,0
47.656742,0,0,0,0
53.645001,0,0,0,0
47.209748,0,0,0,0
56.356709,0,0,0,0
49.085944,0,0,0,0
