#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
2.512050,3,1,0,724
5.720503,4,1,0,675
6.353434,3,1,0,732
1.871144,3,1,0,552
4.787311,4,1,0,1060
3.931153,5,1,0,1164
3.085683,3,1,0,883
4.406496,3,1,0,1038
10.904419,4,1,0,1316
7.436297,5,1,0,1713
9.449141,6,1,0,1866
7.606166,7,1,0,2034
12.733334,8,1,0,2119
9.635442,9,1,0,2477
9.929656,10,1,0,2837
12.473876,0,0,0,0
13.789789,0,0,0,0
15.623771,0,0,0,0
17.471450,0,0,0,0
19.905117,0,0,0,0
21.757659,0,0,0,0
23.777360,0,0,0,0
29.028462,0,0,0,0
27.468214,0,0,0,0
30.340223,0,0,0,0
32.202156,0,0,0,0
35.241605,0,0,0,0
33.448415,0,0,0,0
34.440102,0,0,0,0
34.330310,0,0,0,0
34.161785,0,0,0,0
37.290032,0,0,0,0
39.178923,0,0,0,0
53.919419,0,0,0,0
40.089688,0,0,0,0
38.275083,0,0,0,0
42.144174,0,0,0,0
42.722962,0,0,0,0
38.254809,0,0,0,0
38.920489,0,0,0,0
39.298254,0,0,0,0
37.951950,0,0,0,0
38.598329,0,0,0,0
44.919921,0,0,0,0
41.943291,0,0,0,0
41.395792,0,0,0,0
41.741954,0,0,0,0
46.299324,0,0,0,0
43.643931,0,0,0,0
60.649889,0,0,0,0
41.351185,0,0,0,0
53.546500,0,0,0,0
42.476765,0,0,0,0
43.220582,0,0,0,0
41.703107,0,0,0,0
41.451114,0,0,0,0
44.670658,0,0,0,0
42.576623,0,0,0,0
43.352856,0,0,0,0
51.534231,0,0,0,0
44.493447,0,0,0,0
54.549919,0,0,0,0
52.115986,0,0,0,0
44.669374,0,0,0,0
44.724480,0,0,0,0
56.793158,0,0,0,0
45.515541,0,0,0,0
45.639643,0,0,0,0
43.027275,0,0,0,0
45.211378,0,0,0,0
43.243298,0,0,0,0
50.844097,0,0,0,0
46.755256,0,0,0,0
45.790634,0,0,0,0
45.492598,0,0,0,0
44.314068,0,0,0,0
44.827011,0,0,0,0
43.557880,0,0,0,0
44.022440,0,0,0,0
43.848088,0,0,0,0
43.963728,0,0,0,0
42.737728,0,0,0,0
45.329077,0,0,0,0
44.361810,0,0,0,0
43.144652,0,0,0,0
46.731594,0,0,0,0
44.028566,0,0,0,0
43.842507,0,0,0,0
44.099158,0,0,0,0
44.782690,0,0,0,0
49.794062,0,0,0,0
45.029687,0,0,0,0
45.110248,0,0,0,0
43.988676,0,0,0,0
