#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
5.173386,3,1,0,724
3.383305,4,1,0,675
3.989640,3,1,0,1331
5.258259,4,1,0,1845
5.296633,5,1,0,1801
5.339424,6,1,0,1525
1.780622,3,1,0,405
2.062955,3,1,0,633
3.947382,3,1,0,609
2.947182,3,1,0,875
7.521744,4,1,0,1133
5.897839,5,1,0,1645
6.988005,6,1,0,2222
10.710140,6,1,0,2671
8.041419,6,2,0,3172
14.567740,6,3,0,3582
15.822305,6,4,0,3600
12.445295,0,0,0,0
16.418346,0,0,0,0
15.489684,0,0,0,0
16.421633,0,0,0,0
17.691183,0,0,0,0
20.680897,0,0,0,0
22.637236,0,0,0,0
29.828255,0,0,0,0
37.257713,0,0,0,0
29.081471,0,0,0,0
30.719875,0,0,0,0
34.148404,0,0,0,0
34.242506,0,0,0,0
33.970138,0,0,0,0
34.281041,0,0,0,0
34.946619,0,0,0,0
33.498564,0,0,0,0
34.847585,0,0,0,0
37.194028,0,0,0,0
38.201854,0,0,0,0
34.095598,0,0,0,0
36.236849,0,0,0,0
41.784186,0,0,0,0
39.419786,0,0,0,0
41.006624,0,0,0,0
44.307673,0,0,0,0
41.133077,0,0,0,0
41.612510,0,0,0,0
41.806732,0,0,0,0
42.438052,0,0,0,0
44.682160,0,0,0,0
41.092601,0,0,0,0
41.211292,0,0,0,0
41.775389,0,0,0,0
44.115644,0,0,0,0
43.369850,0,0,0,0
43.138975,0,0,0,0
43.091459,0,0,0,0
44.393384,0,0,0,0
42.858826,0,0,0,0
46.013219,0,0,0,0
43.585557,0,0,0,0
42.304175,0,0,0,0
42.428468,0,0,0,0
42.638670,0,0,0,0
45.051904,0,0,0,0
43.997760,0,0,0,0
44.382990,0,0,0,0
42.088499,0,0,0,0
42.508031,0,0,0,0
42.371043,0,0,0,0
43.155094,0,0,0,0
45.604953,0,0,0,0
44.568023,0,0,0,0
44.170600,0,0,0,0
43.718836,0,0,0,0
42.576344,0,0,0,0
41.888536,0,0,0,0
40.464592,0,0,0,0
41.138147,0,0,0,0
44.117951,0,0,0,0
41.524184,0,0,0,0
42.212283,0,0,0,0
41.579134,0,0,0,0
40.389735,0,0,0,0
46.181709,0,0,0,0
42.440025,0,0,0,0
42.237534,0,0,0,0
42.412758,0,0,0,0
44.941811,0,0,0,0
41.868589,0,0,0,0
43.306975,0,0,0,0
43.435937,0,0,0,0
