#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
5.044139,3,1,0,724
2.449970,3,1,0,675
2.176890,3,1,0,746
2.689412,3,2,0,926
3.063904,3,1,0,996
3.652673,3,2,0,1332
5.380408,3,3,0,1389
8.166063,3,4,0,1353
4.151092,3,4,0,1247
7.049131,3,6,0,1987
5.608548,3,7,0,2302
6.457729,3,8,0,2471
8.816301,0,0,0,0
10.563949,0,0,0,0
13.002041,0,0,0,0
14.503992,0,0,0,0
18.521656,0,0,0,0
16.749672,0,0,0,0
18.417926,0,0,0,0
27.730220,0,0,0,0
21.433284,0,0,0,0
23.157595,0,0,0,0
24.859333,0,0,0,0
37.513747,0,0,0,0
29.052040,0,0,0,0
32.986573,0,0,0,0
29.176239,0,0,0,0
29.146491,0,0,0,0
32.398168,0,0,0,0
31.237550,0,0,0,0
34.366406,0,0,0,0
32.373820,0,0,0,0
30.551189,0,0,0,0
30.307217,0,0,0,0
4.946930,3,1,0,843
4.580850,3,2,0,1390
5.253119,3,3,0,2075
7.352124,3,4,0,2866
9.043749,3,5,0,3194
11.599325,3,6,0,3099
7.384903,3,7,0,3029
9.376222,3,7,0,3251
11.350388,0,0,0,0
13.326713,0,0,0,0
16.639999,0,0,0,0
18.816074,0,0,0,0
19.341414,0,0,0,0
21.709848,0,0,0,0
23.349455,0,0,0,0
25.594138,0,0,0,0
28.133007,0,0,0,0
30.165391,0,0,0,0
36.874200,0,0,0,0
36.117713,0,0,0,0
33.505279,0,0,0,0
33.469618,0,0,0,0
34.957335,0,0,0,0
36.075216,0,0,0,0
35.882946,0,0,0,0
36.090763,0,0,0,0
35.251084,0,0,0,0
36.619292,0,0,0,0
39.033708,0,0,0,0
38.588887,0,0,0,0
51.389885,0,0,0,0
39.537352,0,0,0,0
39.957911,0,0,0,0
39.649185,0,0,0,0
39.956821,0,0,0,0
39.507508,0,0,0,0
40.487037,0,0,0,0
38.793494,0,0,0,0
38.764791,0,0,0,0
38.928842,0,0,0,0
39.932924,0,0,0,0
39.020541,0,0,0,0
44.058956,0,0,0,0
39.811210,0,0,0,0
39.835253,0,0,0,0
40.516353,0,0,0,0
39.974454,0,0,0,0
48.111525,0,0,0,0
40.694388,0,0,0,0
39.774439,0,0,0,0
39.775068,0,0,0,0
39.544577,0,0,0,0
39.428116,0,0,0,0
39.657376,0,0,0,0
39.315537,0,0,0,0
39.178722,0,0,0,0
40.414678,0,0,0,0
40.788367,0,0,0,0
44.017541,0,0,0,0
41.219421,0,0,0,0
41.037713,0,0,0,0
40.788370,0,0,0,0
40.768898,0,0,0,0
39.014501,0,0,0,0
41.020762,0,0,0,0
39.067481,0,0,0,0
38.491138,0,0,0,0
38.853925,0,0,0,0
38.483557,0,0,0,0
39.076282,0,0,0,0
39.792508,0,0,0,0
39.951864,0,0,0,0
39.815808,0,0,0,0
40.407229,0,0,0,0
44.725077,0,0,0,0
46.400637,0,0,0,0
40.939042,0,0,0,0
42.322577,0,0,0,0
40.849218,0,0,0,0
43.202563,0,0,0,0
39.472383,0,0,0,0
41.005927,0,0,0,0
52.294345,0,0,0,0
43.086204,0,0,0,0
41.024240,0,0,0,0
40.047335,0,0,0,0
41.322824,0,0,0,0
42.347508,0,0,0,0
41.887549,0,0,0,0
50.836744,0,0,0,0
41.782052,0,0,0,0
43.010149,0,0,0,0
43.962518,0,0,0,0
62.407388,0,0,0,0
45.185380,0,0,0,0
45.341846,0,0,0,0
44.709292,0,0,0,0
44.470927,0,0,0,0
50.804918,0,0,0,0
44.751135,0,0,0,0
45.969068,0,0,0,0
44.358982,0,0,0,0
45.956749,0,0,0,0
46.187384,0,0,0,0
46.052953,0,0,0,0
45.309044,0,0,0,0
46.069700,0,0,0,0
43.779326,0,0,0,0
43.669411,0,0,0,0
43.526036,0,0,0,0
59.176762,0,0,0,0
45.290749,0,0,0,0
42.409274,0,0,0,0
42.438841,0,0,0,0
42.844162,0,0,0,0
44.954190,0,0,0,0
44.279524,0,0,0,0
41.524280,0,0,0,0
41.768517,0,0,0,0
54.818391,0,0,0,0
43.830658,0,0,0,0
40.745812,0,0,0,0
49.378021,0,0,0,0
40.543337,0,0,0,0
38.194539,0,0,0,0
39.425627,0,0,0,0
39.890574,0,0,0,0
40.765477,0,0,0,0
47.160068,0,0,0,0
38.985611,0,0,0,0
50.140464,0,0,0,0
39.581179,0,0,0,0
42.700849,0,0,0,0
44.717701,0,0,0,0
45.894051,0,0,0,0
41.819224,0,0,0,0
39.937492,0,0,0,0
56.257763,0,0,0,0
44.261580,0,0,0,0
38.906125,0,0,0,0
38.380333,0,0,0,0
44.142240,0,0,0,0
40.620633,0,0,0,0
38.316497,0,0,0,0
39.935312,0,0,0,0
39.988978,0,0,0,0
39.178007,0,0,0,0
40.862742,0,0,0,0
40.979597,0,0,0,0
40.082973,0,0,0,0
41.476351,0,0,0,0
45.444664,0,0,0,0
43.035719,0,0,0,0
46.263750,0,0,0,0
38.850531,0,0,0,0
42.750227,0,0,0,0
41.435538,0,0,0,0
39.619289,0,0,0,0
40.198243,0,0,0,0
39.751403,0,0,0,0
37.803946,0,0,0,0
38.145628,0,0,0,0
40.312160,0,0,0,0
40.370145,0,0,0,0
42.091147,0,0,0,0
40.200228,0,0,0,0
40.244532,0,0,0,0
39.451724,0,0,0,0
42.436293,0,0,0,0
40.822300,0,0,0,0
39.681979,0,0,0,0
40.352538,0,0,0,0
40.998312,0,0,0,0
40.705028,0,0,0,0
40.466470,0,0,0,0
40.701427,0,0,0,0
45.097398,0,0,0,0
40.082745,0,0,0,0
40.701940,0,0,0,0
40.558443,0,0,0,0
41.129315,0,0,0,0
40.018742,0,0,0,0
41.396006,0,0,0,0
39.176789,0,0,0,0
56.309013,0,0,0,0
40.973819,0,0,0,0
39.874357,0,0,0,0
37.843000,0,0,0,0
40.982995,0,0,0,0
39.415021,0,0,0,0
39.259735,0,0,0,0
43.872580,0,0,0,0
38.827492,0,0,0,0
41.519405,0,0,0,0
39.619259,0,0,0,0
40.380749,0,0,0,0
39.483932,0,0,0,0
38.586100,0,0,0,0
38.857878,0,0,0,0
37.706212,0,0,0,0
36.920680,0,0,0,0
39.122151,0,0,0,0
38.229133,0,0,0,0
41.405005,0,0,0,0
39.550574,0,0,0,0
43.327962,0,0,0,0
38.485273,0,0,0,0
40.416885,0,0,0,0
39.970067,0,0,0,0
37.340859,0,0,0,0
36.739418,0,0,0,0
37.793269,0,0,0,0
38.512635,0,0,0,0
49.731566,0,0,0,0
37.856215,0,0,0,0
36.824801,0,0,0,0
40.507193,0,0,0,0
38.345126,0,0,0,0
39.369540,0,0,0,0
37.526294,0,0,0,0
38.120923,0,0,0,0
49.902016,0,0,0,0
39.582906,0,0,0,0
38.379065,0,0,0,0
39.109894,0,0,0,0
52.140088,0,0,0,0
38.573455,0,0,0,0
37.639898,0,0,0,0
37.568717,0,0,0,0
47.204878,0,0,0,0
38.632134,0,0,0,0
38.976813,0,0,0,0
39.864264,0,0,0,0
50.544292,0,0,0,0
38.216325,0,0,0,0
47.827817,0,0,0,0
38.059055,0,0,0,0
38.030885,0,0,0,0
37.459550,0,0,0,0
43.436592,0,0,0,0
37.541993,0,0,0,0
