#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
2.162350,3,1,0,674
3.201666,4,1,0,666
3.846955,3,1,0,1280
5.163416,4,1,0,1713
5.304412,5,1,0,1675
4.843398,6,1,0,1448
1.209939,3,1,0,407
2.006028,3,1,0,847
2.971628,4,1,0,1036
2.953154,5,1,0,993
1.568118,3,1,0,561
2.160321,4,1,0,696
4.561028,5,1,0,866
3.910236,6,1,0,1017
2.030874,3,1,0,710
5.279940,4,1,0,1253
5.372249,5,1,0,1893
13.183155,6,1,0,2388
9.857694,7,1,0,2993
10.769608,8,1,0,3430
11.388320,9,1,0,3455
12.293913,10,1,0,3472
12.170248,0,0,0,0
13.732956,0,0,0,0
16.203974,0,0,0,0
16.995721,0,0,0,0
18.583829,0,0,0,0
21.062491,0,0,0,0
23.239288,0,0,0,0
29.395820,0,0,0,0
27.761713,0,0,0,0
30.069870,0,0,0,0
34.359546,0,0,0,0
34.624504,0,0,0,0
33.799660,0,0,0,0
35.841324,0,0,0,0
36.535210,0,0,0,0
33.736046,0,0,0,0
34.222306,0,0,0,0
37.899911,0,0,0,0
36.231642,0,0,0,0
35.304506,0,0,0,0
39.858387,0,0,0,0
6.873186,3,1,0,990
6.615703,4,1,0,1050
3.961947,5,1,0,1308
4.398686,6,1,0,1429
6.140347,7,1,0,1785
6.255504,8,1,0,2000
7.665395,9,1,0,2090
12.877974,10,1,0,2216
15.955534,0,0,0,0
9.667415,0,0,0,0
18.830245,0,0,0,0
15.624031,0,0,0,0
14.546739,0,0,0,0
15.625869,0,0,0,0
17.302921,0,0,0,0
18.807973,0,0,0,0
20.298632,0,0,0,0
21.524345,0,0,0,0
23.623858,0,0,0,0
24.489202,0,0,0,0
26.981772,0,0,0,0
29.867074,0,0,0,0
33.230740,0,0,0,0
31.860797,0,0,0,0
30.717844,0,0,0,0
32.079174,0,0,0,0
32.102960,0,0,0,0
35.066545,0,0,0,0
34.731106,0,0,0,0
33.502462,0,0,0,0
35.840404,0,0,0,0
34.658568,0,0,0,0
35.029159,0,0,0,0
35.610790,0,0,0,0
38.271125,0,0,0,0
39.704461,0,0,0,0
37.879292,0,0,0,0
39.056787,0,0,0,0
37.828318,0,0,0,0
37.884998,0,0,0,0
40.622274,0,0,0,0
39.341025,0,0,0,0
39.102140,0,0,0,0
38.832259,0,0,0,0
39.450450,0,0,0,0
39.174633,0,0,0,0
38.534476,0,0,0,0
39.533395,0,0,0,0
39.734922,0,0,0,0
40.109236,0,0,0,0
40.358787,0,0,0,0
39.430576,0,0,0,0
41.104919,0,0,0,0
41.357970,0,0,0,0
41.497299,0,0,0,0
41.582260,0,0,0,0
42.502485,0,0,0,0
