#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
3.479161,3,1,0,724
3.467314,4,1,0,675
9.679408,3,1,0,1285
6.899113,4,1,0,1780
5.308046,5,1,0,1779
10.755491,5,2,0,1515
1.639108,3,1,0,407
3.239306,3,1,0,879
6.128160,4,1,0,1026
4.743225,5,1,0,953
3.057946,3,1,0,612
4.831474,4,1,0,605
4.204507,5,1,0,929
3.204483,3,1,0,606
6.037854,4,1,0,798
5.009141,5,1,0,1297
6.729377,5,1,0,1725
5.823540,5,2,0,2258
7.798882,5,3,0,2704
9.937705,5,4,0,3188
10.779891,5,5,0,3378
12.993678,0,0,0,0
13.394905,0,0,0,0
14.884658,0,0,0,0
16.553896,0,0,0,0
18.466442,0,0,0,0
21.859260,0,0,0,0
21.268319,0,0,0,0
24.038831,0,0,0,0
25.553674,0,0,0,0
29.369335,0,0,0,0
3.651611,3,1,0,695
2.179454,4,1,0,717
2.681811,5,1,0,734
2.725072,3,1,0,946
8.943521,4,1,0,1584
5.989780,5,1,0,2133
6.040141,5,2,0,2160
7.204488,5,3,0,2122
5.939199,5,4,0,2213
13.296028,5,5,0,2292
5.716334,5,5,0,1982
9.989246,0,0,0,0
11.961770,0,0,0,0
11.950760,0,0,0,0
13.265787,0,0,0,0
14.843769,0,0,0,0
16.847420,0,0,0,0
18.385258,0,0,0,0
19.538903,0,0,0,0
21.545214,0,0,0,0
22.980585,0,0,0,0
25.967813,0,0,0,0
28.320830,0,0,0,0
27.203175,0,0,0,0
36.702107,0,0,0,0
43.622652,0,0,0,0
29.720050,0,0,0,0
38.704002,0,0,0,0
34.716757,0,0,0,0
32.936090,0,0,0,0
33.350671,0,0,0,0
34.186540,0,0,0,0
34.963176,0,0,0,0
35.181695,0,0,0,0
34.499570,0,0,0,0
36.668436,0,0,0,0
34.934277,0,0,0,0
41.265807,0,0,0,0
35.792909,0,0,0,0
34.359399,0,0,0,0
34.174001,0,0,0,0
38.597347,0,0,0,0
34.268247,0,0,0,0
34.570710,0,0,0,0
35.711585,0,0,0,0
35.433415,0,0,0,0
35.972305,0,0,0,0
42.972581,0,0,0,0
36.488499,0,0,0,0
35.217551,0,0,0,0
36.388294,0,0,0,0
36.383039,0,0,0,0
37.203269,0,0,0,0
37.322997,0,0,0,0
39.659638,0,0,0,0
36.854284,0,0,0,0
37.155313,0,0,0,0
38.268965,0,0,0,0
39.904273,0,0,0,0
40.576133,0,0,0,0
40.003701,0,0,0,0
38.488368,0,0,0,0
37.901016,0,0,0,0
40.546879,0,0,0,0
40.366382,0,0,0,0
42.018965,0,0,0,0
41.005635,0,0,0,0
42.277046,0,0,0,0
41.827749,0,0,0,0
42.297882,0,0,0,0
43.036846,0,0,0,0
41.231863,0,0,0,0
43.905854,0,0,0,0
43.434535,0,0,0,0
42.696150,0,0,0,0
44.441433,0,0,0,0
43.600713,0,0,0,0
45.475091,0,0,0,0
43.601362,0,0,0,0
43.917906,0,0,0,0
44.163830,0,0,0,0
44.225552,0,0,0,0
60.604305,0,0,0,0
43.650195,0,0,0,0
42.660123,0,0,0,0
42.321901,0,0,0,0
42.497215,0,0,0,0
40.985594,0,0,0,0
