#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
2.083931,2,1,0,674
3.701641,2,2,0,660
3.660326,2,2,0,1280
6.306603,2,3,0,1830
7.019595,2,4,0,1568
1.960537,2,2,0,559
2.698135,2,3,0,1065
3.555490,2,4,0,1192
4.198561,2,2,0,977
2.897875,2,1,0,972
4.464218,2,2,0,1226
6.356008,2,3,0,1790
4.316576,2,5,0,1943
8.941066,2,6,0,2130
8.502604,2,6,0,1728
4.180947,2,7,0,1591
11.256050,2,8,0,1805
13.070187,0,0,0,0
13.475573,0,0,0,0
18.808282,0,0,0,0
16.634786,0,0,0,0
18.945631,0,0,0,0
26.798713,0,0,0,0
22.682253,0,0,0,0
24.546841,0,0,0,0
25.679741,0,0,0,0
28.010274,0,0,0,0
29.814846,0,0,0,0
32.057180,0,0,0,0
34.463403,0,0,0,0
31.247663,0,0,0,0
32.702556,0,0,0,0
35.807552,0,0,0,0
37.578486,0,0,0,0
35.180671,0,0,0,0
37.640659,0,0,0,0
40.041066,0,0,0,0
42.350876,0,0,0,0
39.230618,0,0,0,0
36.818382,0,0,0,0
38.729291,0,0,0,0
41.473267,0,0,0,0
39.921810,0,0,0,0
39.045413,0,0,0,0
38.253425,0,0,0,0
39.426187,0,0,0,0
39.939127,0,0,0,0
39.538310,0,0,0,0
39.648743,0,0,0,0
40.903875,0,0,0,0
41.167457,0,0,0,0
41.240421,0,0,0,0
41.600222,0,0,0,0
41.381632,0,0,0,0
44.479647,0,0,0,0
42.030098,0,0,0,0
41.095158,0,0,0,0
43.145567,0,0,0,0
42.764104,0,0,0,0
41.999419,0,0,0,0
40.615105,0,0,0,0
52.131409,0,0,0,0
40.499181,0,0,0,0
42.174258,0,0,0,0
41.960372,0,0,0,0
57.763413,0,0,0,0
44.574889,0,0,0,0
42.460017,0,0,0,0
41.055985,0,0,0,0
42.746063,0,0,0,0
41.362877,0,0,0,0
40.884370,0,0,0,0
40.827739,0,0,0,0
50.209164,0,0,0,0
43.496350,0,0,0,0
42.233780,0,0,0,0
42.763705,0,0,0,0
42.291119,0,0,0,0
42.181358,0,0,0,0
43.583539,0,0,0,0
49.887003,0,0,0,0
42.885934,0,0,0,0
41.595493,0,0,0,0
41.563930,0,0,0,0
47.885835,0,0,0,0
41.930316,0,0,0,0
42.840133,0,0,0,0
41.981455,0,0,0,0
41.378492,0,0,0,0
41.400410,0,0,0,0
41.048861,0,0,0,0
43.124442,0,0,0,0
41.168120,0,0,0,0
41.751721,0,0,0,0
40.156255,0,0,0,0
40.380409,0,0,0,0
40.659197,0,0,0,0
41.780959,0,0,0,0
43.153349,0,0,0,0
43.286666,0,0,0,0
44.701415,0,0,0,0
43.321677,0,0,0,0
43.484169,0,0,0,0
43.888012,0,0,0,0
45.785848,0,0,0,0
45.301312,0,0,0,0
45.080911,0,0,0,0
46.606706,0,0,0,0
44.081227,0,0,0,0
45.452905,0,0,0,0
46.243816,0,0,0,0
46.447945,0,0,0,0
51.191323,0,0,0,0
47.546406,0,0,0,0
49.803789,0,0,0,0
45.720719,0,0,0,0
54.610199,0,0,0,0
47.783510,0,0,0,0
47.770277,0,0,0,0
47.346340,0,0,0,0
47.111282,0,0,0,0
47.751655,0,0,0,0
48.271793,0,0,0,0
46.766659,0,0,0,0
45.135702,0,0,0,0
46.985882,0,0,0,0
48.386704,0,0,0,0
55.525381,0,0,0,0
46.761022,0,0,0,0
50.720810,0,0,0,0
79.578983,0,0,0,0
46.262416,0,0,0,0
51.580286,0,0,0,0
46.642974,0,0,0,0
46.306706,0,0,0,0
45.374328,0,0,0,0
46.095854,0,0,0,0
54.371026,0,0,0,0
46.059198,0,0,0,0
53.326148,0,0,0,0
45.386999,0,0,0,0
46.277031,0,0,0,0
49.263566,0,0,0,0
47.403519,0,0,0,0
46.433480,0,0,0,0
45.801725,0,0,0,0
46.270148,0,0,0,0
46.883807,0,0,0,0
56.723028,0,0,0,0
45.148757,0,0,0,0
49.780460,0,0,0,0
46.728516,0,0,0,0
46.442112,0,0,0,0
46.803982,0,0,0,0
58.114271,0,0,0,0
46.991415,0,0,0,0
49.587347,0,0,0,0
48.052235,0,0,0,0
47.667337,0,0,0,0
47.877123,0,0,0,0
45.467833,0,0,0,0
50.442424,0,0,0,0
45.479619,0,0,0,0
51.970829,0,0,0,0
45.241912,0,0,0,0
49.841497,0,0,0,0
46.698925,0,0,0,0
47.316328,0,0,0,0
44.910195,0,0,0,0
48.243534,0,0,0,0
46.417046,0,0,0,0
44.760652,0,0,0,0
44.274662,0,0,0,0
49.050838,0,0,0,0
44.861192,0,0,0,0
52.419840,0,0,0,0
44.264774,0,0,0,0
47.447497,0,0,0,0
47.592700,0,0,0,0
46.512864,0,0,0,0
44.794189,0,0,0,0
45.010319,0,0,0,0
48.143648,0,0,0,0
47.604254,0,0,0,0
45.256016,0,0,0,0
46.680460,0,0,0,0
45.935688,0,0,0,0
43.818548,0,0,0,0
50.091390,0,0,0,0
45.559798,0,0,0,0
44.484286,0,0,0,0
44.524325,0,0,0,0
43.464160,0,0,0,0
44.969653,0,0,0,0
48.702339,0,0,0,0
44.805241,0,0,0,0
43.846263,0,0,0,0
43.793814,0,0,0,0
44.119949,0,0,0,0
58.397648,0,0,0,0
43.190707,0,0,0,0
43.843019,0,0,0,0
43.283993,0,0,0,0
44.748237,0,0,0,0
45.590840,0,0,0,0
55.772161,0,0,0,0
45.562808,0,0,0,0
42.181000,0,0,0,0
43.687554,0,0,0,0
42.977799,0,0,0,0
43.684717,0,0,0,0
47.031248,0,0,0,0
43.829699,0,0,0,0
42.632560,0,0,0,0
54.255502,0,0,0,0
42.262793,0,0,0,0
55.195224,0,0,0,0
42.401636,0,0,0,0
42.452019,0,0,0,0
58.238270,0,0,0,0
43.385498,0,0,0,0
45.849348,0,0,0,0
44.263238,0,0,0,0
44.146561,0,0,0,0
43.283375,0,0,0,0
45.081602,0,0,0,0
46.633741,0,0,0,0
47.903464,0,0,0,0
46.438314,0,0,0,0
49.085515,0,0,0,0
52.290150,0,0,0,0
61.629495,0,0,0,0
53.429831,0,0,0,0
53.560595,0,0,0,0
51.440622,0,0,0,0
50.878065,0,0,0,0
51.359297,0,0,0,0
27.317218,0,0,0,0
45.591566,0,0,0,0
44.737966,0,0,0,0
44.180400,0,0,0,0
44.049816,0,0,0,0
44.960707,0,0,0,0
43.428889,0,0,0,0
44.073128,0,0,0,0
47.143215,0,0,0,0
44.686717,0,0,0,0
47.636021,0,0,0,0
48.911788,0,0,0,0
51.104695,0,0,0,0
47.239660,0,0,0,0
46.775363,0,0,0,0
48.026661,0,0,0,0
47.902936,0,0,0,0
47.589338,0,0,0,0
48.127562,0,0,0,0
50.368281,0,0,0,0
45.406027,0,0,0,0
45.796975,0,0,0,0
49.247486,0,0,0,0
46.903597,0,0,0,0
48.426525,0,0,0,0
47.773937,0,0,0,0
50.018012,0,0,0,0
49.167218,0,0,0,0
50.186965,0,0,0,0
52.902204,0,0,0,0
50.874186,0,0,0,0
49.475211,0,0,0,0
49.106957,0,0,0,0
49.179115,0,0,0,0
49.300927,0,0,0,0
49.816745,0,0,0,0
51.054596,0,0,0,0
50.414440,0,0,0,0
53.093173,0,0,0,0
52.414205,0,0,0,0
51.483133,0,0,0,0
54.685532,0,0,0,0
51.957170,0,0,0,0
52.860687,0,0,0,0
50.906597,0,0,0,0
52.051322,0,0,0,0
49.764417,0,0,0,0
49.467921,0,0,0,0
51.896175,0,0,0,0
50.656473,0,0,0,0
50.081259,0,0,0,0
50.330561,0,0,0,0
53.366957,0,0,0,0
50.945099,0,0,0,0
51.885011,0,0,0,0
51.749198,0,0,0,0
52.786569,0,0,0,0
54.004669,0,0,0,0
53.868325,0,0,0,0
54.191082,0,0,0,0
58.472319,0,0,0,0
59.940130,0,0,0,0
55.332102,0,0,0,0
56.955026,0,0,0,0
57.215150,0,0,0,0
56.926710,0,0,0,0
56.548835,0,0,0,0
60.983011,0,0,0,0
57.290421,0,0,0,0
57.153681,0,0,0,0
58.968060,0,0,0,0
58.217958,0,0,0,0
57.567983,0,0,0,0
57.223261,0,0,0,0
59.027689,0,0,0,0
56.061508,0,0,0,0
65.700438,0,0,0,0
57.419625,0,0,0,0
57.306201,0,0,0,0
65.380273,0,0,0,0
56.827467,0,0,0,0
56.771307,0,0,0,0
56.973350,0,0,0,0
57.555069,0,0,0,0
57.226195,0,0,0,0
66.664215,0,0,0,0
56.747098,0,0,0,0
56.384269,0,0,0,0
56.708147,0,0,0,0
56.712032,0,0,0,0
56.771607,0,0,0,0
57.443556,0,0,0,0
58.549641,0,0,0,0
69.342404,0,0,0,0
59.886535,0,0,0,0
58.681367,0,0,0,0
57.489235,0,0,0,0
57.095807,0,0,0,0
57.294355,0,0,0,0
58.372736,0,0,0,0
82.195273,0,0,0,0
61.704139,0,0,0,0
57.953338,0,0,0,0
57.717292,0,0,0,0
57.370784,0,0,0,0
58.927598,0,0,0,0
59.195218,0,0,0,0
59.799399,0,0,0,0
60.419918,0,0,0,0
60.327427,0,0,0,0
59.909296,0,0,0,0
59.979075,0,0,0,0
59.814548,0,0,0,0
59.620975,0,0,0,0
59.771306,0,0,0,0
60.255144,0,0,0,0
62.004259,0,0,0,0
58.879750,0,0,0,0
60.285304,0,0,0,0
61.029674,0,0,0,0
59.117724,0,0,0,0
60.420514,0,0,0,0
59.222287,0,0,0,0
59.758310,0,0,0,0
59.959288,0,0,0,0
