#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
3.955107,3,1,0,724
4.555084,4,1,0,675
4.586182,3,1,0,750
4.351141,4,1,0,1319
5.867796,4,2,0,1461
5.707138,4,3,0,1245
4.890138,3,1,0,957
3.180853,3,1,0,523
3.295312,3,1,0,580
2.132030,3,1,0,614
3.682321,4,1,0,819
3.047458,4,1,0,1092
5.778772,4,2,0,1487
5.149042,4,3,0,2020
8.770876,4,4,0,2418
8.489264,4,5,0,2940
8.395069,4,6,0,3301
13.716594,0,0,0,0
14.595993,0,0,0,0
15.717688,0,0,0,0
17.671141,0,0,0,0
18.882489,0,0,0,0
20.556980,0,0,0,0
22.040337,0,0,0,0
25.450969,0,0,0,0
25.718058,0,0,0,0
28.179627,0,0,0,0
32.485250,0,0,0,0
39.506178,0,0,0,0
32.281485,0,0,0,0
31.841064,0,0,0,0
32.221451,0,0,0,0
32.300812,0,0,0,0
35.279708,0,0,0,0
32.111362,0,0,0,0
34.838914,0,0,0,0
34.288510,0,0,0,0
36.367465,0,0,0,0
37.015981,0,0,0,0
37.900761,0,0,0,0
40.334551,0,0,0,0
36.257297,0,0,0,0
35.892767,0,0,0,0
36.221043,0,0,0,0
36.322919,0,0,0,0
37.536357,0,0,0,0
38.629558,0,0,0,0
3.871750,3,1,0,1077
3.250434,4,1,0,1050
3.721042,4,1,0,1101
5.718088,4,2,0,1372
5.227647,4,3,0,1489
4.367160,4,4,0,1597
12.284066,4,5,0,1790
5.325758,4,6,0,1792
8.897696,0,0,0,0
11.727904,0,0,0,0
10.699731,0,0,0,0
11.914465,0,0,0,0
13.904535,0,0,0,0
14.877797,0,0,0,0
16.117687,0,0,0,0
18.129329,0,0,0,0
20.471716,0,0,0,0
20.935649,0,0,0,0
22.380644,0,0,0,0
33.367103,0,0,0,0
30.853808,0,0,0,0
26.557940,0,0,0,0
28.247782,0,0,0,0
30.533424,0,0,0,0
32.291771,0,0,0,0
35.296130,0,0,0,0
32.734115,0,0,0,0
33.583173,0,0,0,0
